Seria pomiarowa: 0
Godzina poczatkowa: 6:00, Godzina koncowa: 20:00
Dzielnik, Panel, Temperatura, Czas [s]
713,1.97,6.02,26.69
714,2.37,7.23,26.69
715,3.64,11.11,26.69
716,2.61,7.96,26.69
717,3.48,10.61,26.69
718,3.73,11.37,26.62
719,2.09,6.38,26.62
720,2.34,7.14,26.62
721,1.51,4.59,26.62
722,4.63,14.12,26.62
723,4.52,13.79,26.62
724,4.60,14.03,26.62
725,4.76,14.50,26.62
726,1.48,4.50,26.62
727,3.26,9.94,26.62
728,4.42,13.49,26.56
729,4.10,12.49,26.62
730,2.82,8.60,26.62
731,3.88,11.82,26.62
732,4.81,14.67,26.56
733,3.86,11.76,26.56
734,4.74,14.45,26.56
735,2.49,7.59,26.56
736,1.71,5.22,26.56
737,4.40,13.43,26.56
738,3.07,9.38,26.56
739,3.14,9.59,26.56
740,1.69,5.16,26.56
741,3.02,9.21,26.56
742,2.91,8.87,26.50
743,3.90,11.90,26.50
744,3.18,9.70,26.50
745,2.73,8.33,26.50
746,2.22,6.77,26.50
747,3.80,11.58,26.50
748,4.81,14.68,26.50
749,1.83,5.58,26.50
750,3.58,10.91,26.50
751,4.24,12.94,26.50
752,2.24,6.84,26.50
753,3.68,11.23,26.50
754,2.18,6.66,26.50
755,2.61,7.98,26.44
756,2.10,6.41,26.44
757,3.63,11.08,26.44
758,3.11,9.50,26.44
759,1.55,4.73,26.44
760,4.26,13.00,26.44
761,3.54,10.79,26.44
762,3.88,11.82,26.44
763,1.32,4.02,26.44
764,1.41,4.29,26.44
765,4.40,13.43,26.44
766,2.96,9.02,26.44
767,1.44,4.38,26.44
768,2.87,8.77,26.44
769,2.06,6.29,26.44
770,4.67,14.24,26.44
771,3.49,10.66,26.44
772,3.13,9.56,26.44
773,4.37,13.33,26.44
774,1.84,5.61,26.44
775,3.47,10.57,26.44
776,3.72,11.36,26.44
777,1.96,5.98,26.37
778,3.72,11.34,26.44
779,2.60,7.93,26.37
780,3.79,11.57,26.37
781,3.50,10.69,26.37
782,3.48,10.60,26.37
783,2.23,6.80,26.37
784,2.93,8.94,26.37
785,2.92,8.90,26.37
786,3.68,11.23,26.37
787,2.06,6.29,26.37
788,3.27,9.97,26.37
789,3.00,9.15,26.37
790,1.98,6.05,26.31
791,3.64,11.11,26.31
792,3.64,11.09,26.31
793,4.12,12.57,26.37
794,1.96,5.99,26.31
795,2.76,8.42,26.31
796,1.74,5.31,26.31
797,3.14,9.57,26.31
798,2.92,8.90,26.31
799,3.71,11.33,26.31
800,1.38,4.22,26.31
801,2.51,7.66,26.31
802,3.71,11.31,26.31
803,4.13,12.58,26.31
804,3.19,9.72,26.31
805,2.90,8.85,26.31
806,2.38,7.24,26.31
807,2.91,8.87,26.25
808,3.03,9.24,26.25
809,2.92,8.90,26.25
810,3.04,9.26,26.25
811,2.91,8.88,26.31
812,3.13,9.54,26.25
813,1.46,4.44,26.25
814,3.86,11.76,26.25
815,3.06,9.35,26.25
816,3.96,12.09,26.25
817,2.97,9.06,26.25
818,2.97,9.06,26.25
819,2.97,9.06,26.25
820,3.41,10.39,26.25
821,2.25,6.87,26.25
822,3.08,9.41,26.25
823,2.84,8.68,26.25
824,1.20,3.67,26.25
825,2.96,9.03,26.25
826,3.19,9.72,26.25
827,2.76,8.42,26.19
828,3.18,9.70,26.19
829,2.07,6.32,26.19
830,3.82,11.66,26.19
831,2.95,8.99,26.19
832,4.44,13.55,26.19
833,2.14,6.53,26.19
834,3.06,9.33,26.19
835,4.13,12.61,26.19
836,2.70,8.24,26.19
837,3.46,10.55,26.19
838,2.42,7.38,26.19
839,3.91,11.91,26.19
840,2.27,6.93,26.19
841,3.02,9.20,26.19
842,2.40,7.32,26.12
843,2.99,9.12,26.19
844,2.93,8.93,26.19
845,3.18,9.69,26.12
846,4.27,13.01,26.12
847,2.99,9.12,26.12
848,3.33,10.17,26.12
849,2.72,8.30,26.12
850,2.81,8.57,26.12
851,3.19,9.72,26.12
852,2.79,8.51,26.12
853,3.01,9.18,26.12
854,3.83,11.69,26.12
855,3.35,10.23,26.06
856,3.19,9.72,26.06
857,2.02,6.17,26.06
858,2.65,8.09,26.06
859,3.92,11.97,26.06
860,3.88,11.82,26.06
861,2.22,6.77,26.06
862,3.82,11.64,26.06
863,3.84,11.70,26.06
864,4.02,12.25,26.06
865,3.30,10.06,26.06
866,3.95,12.04,26.06
867,2.83,8.65,26.06
868,2.09,6.38,26.00
869,3.87,11.81,26.00
870,3.94,12.03,26.00
871,3.94,12.03,26.00
872,2.59,7.89,26.00
873,3.68,11.21,26.00
874,3.43,10.46,26.00
875,3.90,11.90,26.00
876,2.29,6.99,26.00
877,3.21,9.79,26.00
878,3.59,10.96,26.00
879,3.03,9.24,26.00
880,3.15,9.62,26.00
881,1.53,4.67,26.00
882,2.91,8.88,26.00
883,1.95,5.95,26.00
884,1.95,5.93,26.00
885,3.86,11.76,26.00
886,3.67,11.20,26.00
887,1.35,4.11,26.00
888,2.01,6.14,26.00
889,3.75,11.43,26.00
890,2.38,7.24,26.00
891,3.39,10.33,26.00
892,2.75,8.39,26.00
893,3.26,9.96,26.00
894,1.98,6.05,26.00
895,3.53,10.78,25.94
896,2.37,7.22,25.94
897,2.97,9.06,25.94
898,2.86,8.74,25.94
899,2.64,8.05,25.94
900,2.80,8.53,25.94
901,3.02,9.20,25.94
902,2.46,7.51,25.94
903,2.07,6.32,25.94
904,4.11,12.54,25.94
905,1.93,5.89,25.94
906,1.98,6.05,25.94
907,2.57,7.84,25.94
908,4.16,12.70,25.94
909,1.94,5.90,25.94
910,1.26,3.85,25.94
911,2.53,7.72,25.94
912,3.13,9.56,25.94
913,3.37,10.29,25.94
914,1.05,3.19,25.94
915,1.67,5.10,25.94
916,1.05,3.19,25.94
917,2.40,7.33,25.94
918,2.00,6.11,25.94
919,2.99,9.12,25.94
920,3.04,9.26,25.94
921,1.87,5.69,25.94
922,2.27,6.92,25.87
923,3.79,11.57,25.87
924,3.87,11.79,25.87
925,1.93,5.87,25.87
926,4.78,14.56,25.87
927,3.89,11.87,25.87
928,4.74,14.45,25.87
929,2.98,9.08,25.87
930,2.97,9.05,25.87
931,2.97,9.06,25.87
932,2.92,8.91,25.87
933,3.08,9.41,25.87
934,2.97,9.05,25.87
935,3.35,10.21,25.87
936,1.96,5.96,25.87
937,1.32,4.02,25.87
938,2.64,8.05,25.87
939,3.23,9.84,25.87
940,3.73,11.37,25.87
941,3.67,11.20,25.81
942,2.91,8.88,25.81
943,2.98,9.09,25.81
